DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1645603731892,1645603732715,4,1645603732715,50,5,10,0,0,0,ELT003#
DEVICE,1645603731924,1645603732747,4,1645603732747,52,5,10,0,0,0,ELT003#
DEVICE,1645603731956,1645603732779,4,1645603732779,52,5,10,0,0,0,ELT003#
DEVICE,1645603731988,1645603732811,4,1645603732811,51,5,10,0,0,0,ELT003#
DEVICE,1645603738331,1645603739154,4,1645603739154,53,5,10,0,0,0,ELT003#
DEVICE,1645603738363,1645603739186,4,1645603739186,53,5,10,0,0,0,ELT003#
DEVICE,1645603738395,1645603739218,4,1645603739218,50,5,10,0,0,0,ELT003#
DEVICE,1645603738427,1645603739250,4,1645603739250,49,4,10,0,0,0,ELT003#
DEVICE,1645603738459,1645603739282,4,1645603739282,54,5,10,0,0,0,ELT003#
DEVICE,1645603738491,1645603739314,4,1645603739314,52,5,10,0,0,0,ELT003#
DEVICE,1645603738507,1645603739330,4,1645603739330,51,5,10,0,0,0,ELT003#
DEVICE,1645603738539,1645603739362,4,1645603739362,50,5,10,0,0,0,ELT003#
DEVICE,1645603738571,1645603739394,4,1645603739394,51,5,10,0,0,0,ELT003#
DEVICE,1645603738603,1645603739426,4,1645603739426,52,5,10,0,0,0,ELT003#
DEVICE,1645603738635,1645603739458,4,1645603739458,52,5,10,0,0,0,ELT003#
DEVICE,1645603738668,1645603739491,4,1645603739491,51,5,10,0,0,0,ELT003#
DEVICE,1645603738700,1645603739523,4,1645603739523,52,5,10,0,0,0,ELT003#
DEVICE,1645603738731,1645603739554,4,1645603739554,48,4,10,0,0,0,ELT003#
DEVICE,1645603738763,1645603739586,4,1645603739586,52,5,10,0,0,0,ELT003#
DEVICE,1645603738795,1645603739618,4,1645603739618,55,5,10,0,0,0,ELT003#
DEVICE,1645603738827,1645603739650,4,1645603739650,52,5,10,0,0,0,ELT003#
DEVICE,1645603738859,1645603739682,4,1645603739682,53,5,10,0,0,0,ELT003#
DEVICE,1645603738891,1645603739714,4,1645603739714,52,5,10,0,0,0,ELT003#
DEVICE,1645603738923,1645603739746,4,1645603739746,49,4,10,0,0,0,ELT003#
DEVICE,1645603738955,1645603739778,4,1645603739778,50,5,10,0,0,0,ELT003#
DEVICE,1645603738988,1645603739811,4,1645603739811,53,5,10,0,0,0,ELT003#
DEVICE,1645603739019,1645603739842,4,1645603739842,52,5,10,0,0,0,ELT003#
DEVICE,1645603739051,1645603739874,4,1645603739874,52,5,10,0,0,0,ELT003#
DEVICE,1645603739083,1645603739906,4,1645603739906,52,5,10,0,0,0,ELT003#
DEVICE,1645603739115,1645603739938,4,1645603739938,53,5,10,0,0,0,ELT003#
DEVICE,1645603739147,1645603739970,4,1645603739970,52,5,10,0,0,0,ELT003#
DEVICE,1645603739179,1645603740002,4,1645603740002,54,5,10,0,0,0,ELT003#
DEVICE,1645603739211,1645603740034,4,1645603740034,52,5,10,0,0,0,ELT003#
DEVICE,1645603739242,1645603740065,4,1645603740065,53,5,10,0,0,0,ELT003#
DEVICE,1645603739274,1645603740097,4,1645603740097,53,5,10,0,0,0,ELT003#
DEVICE,1645603739307,1645603740130,4,1645603740130,53,5,10,0,0,0,ELT003#
DEVICE,1645603739339,1645603740162,4,1645603740162,52,5,10,0,0,0,ELT003#
DEVICE,1645603739370,1645603740193,4,1645603740193,51,5,10,0,0,0,ELT003#
DEVICE,1645603739403,1645603740226,4,1645603740226,50,5,10,0,0,0,ELT003#
DEVICE,1645603739435,1645603740258,4,1645603740258,52,5,10,0,0,0,ELT003#
DEVICE,1645603739467,1645603740290,4,1645603740290,51,5,10,0,0,0,ELT003#
DEVICE,1645603739499,1645603740322,4,1645603740322,49,4,10,0,0,0,ELT003#
DEVICE,1645603739530,1645603740353,4,1645603740353,52,5,10,0,0,0,ELT003#
DEVICE,1645603739563,1645603740386,4,1645603740386,52,5,10,0,0,0,ELT003#
DEVICE,1645603739594,1645603740417,4,1645603740417,54,5,10,0,0,0,ELT003#
DEVICE,1645603739626,1645603740449,4,1645603740449,51,5,10,0,0,0,ELT003#
DEVICE,1645603739658,1645603740481,4,1645603740481,52,5,10,0,0,0,ELT003#
DEVICE,1645603739690,1645603740513,4,1645603740513,54,5,10,0,0,0,ELT003#
DEVICE,1645603739722,1645603740545,4,1645603740545,51,5,10,0,0,0,ELT003#
DEVICE,1645603739754,1645603740577,4,1645603740577,50,5,10,0,0,0,ELT003#
DEVICE,1645603739786,1645603740609,4,1645603740609,52,5,10,0,0,0,ELT003#
DEVICE,1645603739818,1645603740641,4,1645603740641,52,5,10,0,0,0,ELT003#
DEVICE,1645603739850,1645603740673,4,1645603740673,53,5,10,0,0,0,ELT003#
DEVICE,1645603739882,1645603740705,4,1645603740705,52,5,10,0,0,0,ELT003#
DEVICE,1645603739914,1645603740737,4,1645603740737,51,5,10,0,0,0,ELT003#
DEVICE,1645603739946,1645603740769,4,1645603740769,50,5,10,0,0,0,ELT003#
DEVICE,1645603739978,1645603740801,4,1645603740801,53,5,10,0,0,0,ELT003#
DEVICE,1645603740010,1645603740833,4,1645603740833,55,5,10,0,0,0,ELT003#
DEVICE,1645603740042,1645603740865,4,1645603740865,51,5,10,0,0,0,ELT003#
DEVICE,1645603740074,1645603740897,4,1645603740897,53,5,10,0,0,0,ELT003#
DEVICE,1645603740106,1645603740929,4,1645603740929,51,5,10,0,0,0,ELT003#
DEVICE,1645603740138,1645603740961,4,1645603740961,52,5,10,0,0,0,ELT003#
DEVICE,1645603740170,1645603740993,4,1645603740993,51,5,10,0,0,0,ELT003#
DEVICE,1645603740202,1645603741025,4,1645603741025,50,5,10,0,0,0,ELT003#
DEVICE,1645603740234,1645603741057,4,1645603741057,53,5,10,0,0,0,ELT003#
DEVICE,1645603740266,1645603741089,4,1645603741089,52,5,10,0,0,0,ELT003#
DEVICE,1645603740298,1645603741121,4,1645603741121,50,5,10,0,0,0,ELT003#
DEVICE,1645603740314,1645603741137,4,1645603741137,52,5,10,0,0,0,ELT003#
DEVICE,1645603740362,1645603741185,4,1645603741185,51,5,10,0,0,0,ELT003#
DEVICE,1645603740378,1645603741201,4,1645603741201,52,5,10,0,0,0,ELT003#
DEVICE,1645603740410,1645603741233,4,1645603741233,52,5,10,0,0,0,ELT003#
DEVICE,1645603740442,1645603741265,4,1645603741265,51,5,10,0,0,0,ELT003#
DEVICE,1645603740474,1645603741297,4,1645603741297,53,5,10,0,0,0,ELT003#
DEVICE,1645603740506,1645603741329,4,1645603741329,53,5,10,0,0,0,ELT003#
DEVICE,1645603740538,1645603741361,4,1645603741361,51,5,10,0,0,0,ELT003#
DEVICE,1645603740570,1645603741393,4,1645603741393,51,5,10,0,0,0,ELT003#
DEVICE,1645603740602,1645603741425,4,1645603741425,53,5,10,0,0,0,ELT003#
DEVICE,1645603740634,1645603741457,4,1645603741457,51,5,10,0,0,0,ELT003#
